Metabolites,0014_LC_20171106_sample_0015,0014_LC_20171106_sample_0049,0014_LC_20171107_sample_0065,0014_LC_20171111_sample_183,0014_LC_20171111_sample_196,0014_LC_20171106_sample_0045,0014_LC_20171106_sample_0047,0014_LC_20171107_sample_0083,0014_LC_20171107_sample_0089,0014_LC_20171110_sample_139,0014_LC_20171106_sample_0024,0014_LC_20171106_sample_0037,0014_LC_20171110_sample_108,0014_LC_20171111_sample_165,0014_LC_20171112_sample_224,0014_LC_20171106_sample_0012,0014_LC_20171106_sample_0023,0014_LC_20171106_sample_0027,0014_LC_20171110_sample_103,0014_LC_20171110_sample_128,0014_LC_20171107_sample_0099,0014_LC_20171110_sample_109,0014_LC_20171110_sample_135,0014_LC_20171111_sample_158,0014_LC_20171111_sample_166,0014_LC_20171106_sample_0014,0014_LC_20171107_sample_0055,0014_LC_20171110_sample_125,0014_LC_20171111_sample_169,0014_LC_20171111_sample_197,0014_LC_20171106_sample_0048,0014_LC_20171107_sample_0053,0014_LC_20171107_sample_0097,0014_LC_20171111_sample_154,0014_LC_20171111_sample_164,0014_LC_20171107_sample_0056,0014_LC_20171107_sample_0076,0014_LC_20171107_sample_0084,0014_LC_20171110_sample_140,0014_LC_20171111_sample_162
SM(d38:1),0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07
SM(d38:2),0.1,0.11,0.1,0.12,0.12,0.12,0.11,0.11,0.18,0.1,0.12,0.09,0.11,0.09,0.11,0.1,0.12,0.11,0.14,0.15,0.21,0.11,0.11,0.1,0.13,0.09,0.11,0.11,0.11,0.14,0.11,0.08,0.1,0.11,0.09,0.11,0.1,0.11,0.1,0.13
SM(d40:1),0.08,0.09,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.08,0.09,0.1,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.09,0.09,0.08,0.07
SM(d40:2),0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07
SM(d41:1),0.13,0.16,0.08,0.16,0.15,0.17,0.17,0.17,0.11,0.17,0.09,0.11,0.17,0.11,0.15,0.15,0.19,0.17,0.18,0.11,0.11,0.18,0.18,0.17,0.13,0.16,0.22,0.23,0.23,0.1,0.09,0.13,0.17,0.14,0.13,0.19,0.18,0.18,0.12,0.09
SM(d42:2),0.09,0.09,0.08,0.1,0.09,0.1,0.1,0.1,0.11,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.1,0.09,0.12,0.1,0.1,0.09,0.1,0.08,0.1,0.09,0.09,0.1,0.08,0.08,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08
TG(14:0/16:0/18:1),0.18,0.26,0.28,0.29,2.34,2.05,1.16,0.8,1.52,0.38,0.98,0.98,0.36,2.04,1.18,0.36,1.29,1.22,3.74,1.62,0.77,0.91,1.36,0.66,2.71,0.77,0.95,1.33,4.39,1.07,0.92,0.3,3.1,1.84,0.26,0.62,0.66,2.26,7.34,1.07
TG(14:0/18:1/18:1),0.57,1.24,0.78,1.27,4.84,4.98,3.93,3.32,6.43,1.34,4.77,3.09,1.47,5.01,3.55,1.09,3.96,3.33,7.77,4.89,3.34,4.25,3.49,2.14,5.8,2.35,4.17,3.17,6.71,4.11,4.5,0.69,5.93,3.87,1.01,3.54,1.47,5.65,9.9,3.12
TG(14:0/18:2/18:2),0.2,0.17,0.17,0.33,0.42,0.37,0.54,0.42,0.57,0.22,0.29,0.37,0.19,0.6,0.26,0.18,0.29,0.3,0.31,0.68,0.33,0.4,0.57,0.53,0.67,0.18,0.46,0.48,0.56,0.36,0.45,0.13,0.51,0.39,0.2,0.25,0.18,0.49,1.13,0.29
TG(14:0/18:2/18:2),0.13,0.17,0.14,0.3,0.38,0.32,0.45,0.37,0.39,0.21,0.18,0.3,0.18,0.49,0.24,0.17,0.23,0.24,0.16,0.44,0.17,0.35,0.45,0.48,0.54,0.17,0.16,0.17,0.49,0.18,0.23,0.13,0.25,0.34,0.18,0.14,0.16,0.21,0.24,0.19
TG(16:0/18:0/18:1),0.19,0.45,0.24,0.42,3.06,3.6,1.68,0.68,1.29,0.47,0.83,0.84,0.73,1.88,1.65,0.47,1.67,2.03,6.52,1.22,0.55,1.17,1.6,0.93,3.19,0.9,1.17,1.48,6.14,1.03,0.83,0.32,2.19,2.48,0.32,0.87,0.87,2.28,11.96,0.98
TG(16:0/18:2/18:2),0.14,0.14,0.17,3.42,1.52,0.21,0.22,2.67,0.59,1.09,0.37,0.19,0.18,2.4,1.03,0.16,0.2,0.21,1.88,0.62,0.29,0.24,0.2,0.19,0.21,0.14,0.24,0.2,2.15,0.38,0.4,0.13,1,1.4,0.74,0.22,0.17,3.07,3.79,0.39
TG(16:0/18:2/18:2),1.71,2.44,0.44,4.31,1.7,2.28,5.15,3.47,3.12,1.37,1.36,2.08,1.23,2.95,1.29,0.95,2.14,1.81,2.39,2.63,1.46,4.93,4.1,4,3.71,1.05,5.12,3.02,2.15,2.1,2.72,0.26,3.51,1.83,1,2.99,1.04,4.12,5.16,1.24
TG(16:0/18:2/18:3),0.46,0.44,0.17,1.03,0.41,0.39,1.06,0.77,0.56,0.36,0.25,0.59,0.3,0.99,0.25,0.26,0.43,0.42,0.36,0.56,0.32,0.81,1.08,1.21,0.6,0.21,0.93,0.79,0.63,0.37,0.42,0.14,0.92,0.39,0.33,0.45,0.23,0.9,1.04,0.39
TG(16:0/18:2/18:3),0.44,0.43,0.18,1.03,0.36,0.34,0.91,0.62,0.78,0.36,0.38,0.45,0.26,0.84,0.24,0.23,0.33,0.31,0.29,0.68,0.53,0.66,1.02,1.16,0.55,0.21,0.85,0.66,0.61,0.23,0.79,0.14,0.62,0.36,0.28,0.38,0.21,0.33,0.82,0.39
TG(16:0/18:2/22:6),0.19,0.13,0.23,0.2,0.16,0.15,0.26,0.22,2.15,0.14,0.26,0.18,0.16,0.2,0.13,0.16,0.2,0.2,0.14,0.74,0.86,0.41,0.56,0.6,0.16,0.13,0.3,0.28,0.33,0.64,1.22,0.13,0.33,0.13,0.3,0.22,0.17,1.02,0.15,0.42
TG(16:0/22:5/18:1) or TG(20:4/18:1/18:1),0.34,0.15,0.2,0.68,0.25,0.32,1.17,1.07,1.34,0.19,0.61,0.53,0.64,0.61,0.14,0.38,0.65,0.63,0.42,1.24,0.48,1.06,1.32,0.82,0.23,0.14,1.29,0.85,0.99,0.7,0.77,0.13,1.06,0.19,0.46,0.83,0.46,1.74,0.39,0.97
TG(16:0/22:5/18:1) or TG(20:4/18:1/18:1),0.34,0.15,0.19,0.66,0.23,0.14,0.95,0.77,0.77,0.18,0.39,0.46,0.59,0.57,0.14,0.32,0.56,0.51,0.31,0.62,0.45,1.02,1.11,0.85,0.23,0.14,1.29,0.69,0.87,0.41,0.69,0.13,0.74,0.18,0.4,0.59,0.35,1.41,0.36,0.59
TG(18:0/18:0/18:0),0.13,0.13,0.13,0.13,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.13,0.13,0.15,0.14,0.15,0.13,0.13,0.15,0.33,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.29,0.13
TG(18:0/18:1/20:4),0.18,0.14,0.19,0.24,0.17,0.2,0.7,0.43,0.56,0.17,0.68,0.2,0.51,0.24,0.14,0.29,0.5,0.56,0.27,0.59,0.55,0.47,0.66,0.3,0.17,0.14,1.09,0.53,0.65,0.68,0.87,0.13,0.6,0.19,0.3,0.62,0.36,0.46,0.27,0.42
TG(18:1/12:0/18:1) or TG(18:2/16:0/14:0),0.2,0.27,0.25,0.33,1.63,1.47,1.07,0.69,0.94,0.38,0.73,0.7,0.26,1.35,0.7,0.24,0.63,0.66,1.48,1.09,0.6,0.62,0.93,0.6,2.46,0.63,0.73,0.92,2.37,0.72,0.74,0.2,1.71,1.28,0.22,0.42,0.33,1.34,5.7,0.71
TG(18:1/18:1/16:0),2.24,5.06,1.2,4.69,12.21,14.95,12.82,12.29,11.1,5.33,8.62,6.96,6.92,10.14,10.74,4.73,13.75,11.48,23.07,7.13,5.39,15.78,11.37,7.12,13.87,9.25,15.71,9.64,15.73,6.45,7.78,3.05,12.97,10.75,4.36,12.57,6.67,14.21,19.15,4.92
TG(18:1/18:1/18:1),1.16,2.59,0.47,3.41,5.89,6.26,6.15,5.16,2.5,3.09,3.72,3.33,5.16,6.09,6.75,1.33,3.85,3.77,9.29,1.97,1.51,5.51,5.06,5.47,6.39,3.91,10.89,3.73,6.34,2.52,2.3,0.96,3.58,4.62,1.91,4.33,2.64,4.95,11.16,1.47
TG(18:1/18:1/18:1),1.17,2.59,0.47,3.39,5.87,6.24,6.12,5.16,0.19,3.09,3.72,3.33,5.14,6.07,6.73,1.33,3.83,3.76,9.27,1.97,0.17,5.5,5.06,5.47,6.39,3.91,10.86,3.71,6.32,0.18,0.18,0.96,3.57,4.62,1.91,4.31,2.63,4.94,11.13,0.17
TG(18:1/18:1/22:6),0.18,0.13,0.19,0.24,0.13,0.14,0.36,0.28,1.13,0.14,0.29,0.16,0.21,0.17,0.13,0.16,0.21,0.21,0.14,0.46,0.64,0.4,0.43,0.51,0.14,0.13,0.39,0.25,0.24,0.35,0.78,0.13,0.28,0.14,0.32,0.27,0.19,0.8,0.15,0.21
TG(18:1/18:2/18:2),0.22,0.16,0.28,0.38,0.32,0.35,0.65,0.57,2.31,0.19,1.14,0.38,0.4,0.46,0.59,0.29,0.51,0.55,0.46,1.57,0.83,0.68,0.66,3.47,0.3,0.15,0.88,0.52,0.62,1.05,1.32,0.14,1.01,0.23,0.31,0.6,0.33,1.15,0.63,1
TG(18:1/18:2/18:2),1.05,1.4,0.25,1.16,0.38,0.83,3.03,1.92,1.39,0.79,0.17,1.36,0.9,2.82,0.66,0.41,0.78,0.78,0.61,1.14,0.62,2.36,2.01,4.5,0.99,0.32,5.13,1.41,0.77,1.05,1.16,0.19,1.4,0.76,0.57,1.5,0.57,2.03,2.28,0.57
TG(18:2/18:1/16:0),3.28,5.5,0.93,6.88,7.51,9.31,11.46,9.74,8.94,3.82,5.05,5.45,4.34,7.6,6.47,3.16,8.29,6.59,12.42,6.17,3.85,13.52,9.39,7.33,11.12,5.44,13.55,7.65,10.1,5.26,6.56,1,8.96,6.28,3,10.18,4.52,11.65,13.13,3.47
TG(18:2/18:1/18:1),1.65,1.89,0.36,4.27,2.37,2.96,5.67,4.35,2.02,1.82,1.64,2.79,3.02,5.1,2.42,0.99,2.37,2.35,2.99,1.58,1.09,4.87,4.05,6.12,3.68,1.12,10.73,2.92,3.63,1.67,1.99,0.34,2.98,2.26,1.24,3.92,1.81,4.31,6.81,0.94
TG(18:2/18:1/18:1),0.14,0.13,0.18,3.07,1.99,0.18,0.23,0.27,0.6,0.14,0.45,0.15,0.2,0.17,1.74,0.16,0.23,0.26,2.06,0.68,0.39,0.2,0.26,4.42,0.17,0.13,0.27,0.21,0.26,0.46,0.47,0.14,2.17,0.16,0.17,0.21,0.16,2.94,0.29,0.44
TG(18:2/18:2/18:2) or TG(18:3/18:2/18:1),0.46,0.68,0.2,1.39,0.23,0.23,0.81,0.56,0.5,0.31,0.31,0.44,0.24,1.37,0.22,0.19,0.24,0.24,0.18,0.96,0.29,0.59,0.72,1.93,0.35,0.15,1.13,0.47,0.36,0.54,0.38,0.14,0.76,0.27,0.24,0.34,0.19,0.55,0.47,0.46
TG(18:2/18:2/18:2) or TG(18:3/18:2/18:1),0.24,0.14,0.26,1.39,0.2,0.23,0.45,0.45,1.61,0.29,0.54,0.41,0.28,1.21,0.22,0.2,0.33,0.34,0.21,1.69,0.47,0.54,0.62,0.6,0.35,0.15,0.55,0.44,0.52,0.54,0.9,0.14,1.03,0.27,0.32,0.37,0.21,1.73,0.31,0.46
TG(18:2/18:2/18:2) or TG(18:3/18:2/18:1),0.24,0.14,0.18,0.34,0.2,0.2,0.18,0.45,0.98,0.15,0.27,0.34,0.25,0.27,0.14,0.19,0.22,0.2,0.16,0.86,0.98,0.25,0.2,0.65,0.17,0.13,0.47,0.39,0.51,0.33,0.61,0.13,0.62,0.15,0.16,0.32,0.2,1.44,0.19,0.46
TG(18:2/22:5/16:0),0.21,0.14,0.39,0.23,0.17,0.24,0.55,0.78,4.56,0.16,0.62,0.23,0.3,0.39,0.13,0.21,0.52,0.47,0.22,1.23,2.12,1.28,0.8,0.9,0.19,0.13,1.12,0.35,0.5,0.45,2.86,0.13,0.55,0.15,0.46,0.44,0.27,2.58,0.25,0.71
TG(18:2/22:5/16:0),0.32,0.14,0.36,0.23,0.17,0.24,0.52,0.41,0.63,0.16,0.54,0.33,0.41,0.43,0.13,0.21,0.4,0.37,0.16,0.48,2,1.06,0.61,0.9,0.19,0.13,0.78,0.43,0.38,0.45,2.61,0.13,0.46,0.16,0.29,0.34,0.21,1.69,0.23,0.5
TG(45:0),0.13,0.13,0.13,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.15,0.13,0.16,0.14,0.13,0.13,0.16,0.13,0.15,0.13,0.13,0.15,0.22,0.14,0.14,0.13,0.16,0.14,0.13,0.13,0.14,0.15,0.2,0.14
TG(47:0),0.13,0.13,0.14,0.13,0.17,0.16,0.15,0.13,0.14,0.13,0.14,0.15,0.13,0.16,0.16,0.13,0.18,0.15,0.21,0.17,0.14,0.14,0.18,0.14,0.16,0.14,0.15,0.18,0.29,0.17,0.15,0.13,0.2,0.16,0.13,0.14,0.17,0.21,0.24,0.16
TG(47:1),0.14,0.13,0.14,0.14,0.23,0.19,0.17,0.15,0.15,0.14,0.16,0.16,0.14,0.19,0.16,0.14,0.19,0.17,0.26,0.2,0.15,0.16,0.2,0.15,0.21,0.15,0.17,0.2,0.36,0.18,0.17,0.13,0.24,0.19,0.14,0.15,0.17,0.22,0.39,0.18
TG(47:2),0.13,0.13,0.14,0.13,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.16,0.14,0.13,0.14,0.14,0.16,0.16,0.14,0.15,0.16,0.14,0.16,0.14,0.14,0.16,0.2,0.15,0.14,0.13,0.17,0.16,0.13,0.14,0.14,0.17,0.26,0.14
TG(48:0),0.13,0.15,0.14,0.14,0.2,0.21,0.22,0.16,0.23,0.14,0.17,0.19,0.15,0.21,0.19,0.16,0.23,0.21,0.3,0.19,0.17,0.2,0.19,0.16,0.2,0.19,0.18,0.19,0.34,0.18,0.17,0.15,0.27,0.19,0.13,0.21,0.2,0.36,0.32,0.17
TG(48:1),0.14,0.15,0.17,0.15,0.3,0.3,0.22,0.21,0.27,0.16,0.23,0.24,0.17,0.28,0.23,0.17,0.25,0.24,0.4,0.23,0.22,0.22,0.21,0.17,0.3,0.23,0.21,0.22,0.39,0.21,0.23,0.17,0.33,0.25,0.15,0.19,0.2,0.31,0.42,0.21
TG(48:3),0.17,0.18,0.15,0.23,0.54,0.51,0.52,0.31,0.3,0.23,0.22,0.29,0.15,0.53,0.28,0.16,0.23,0.24,0.38,0.39,0.23,0.24,0.43,0.21,1.2,0.25,0.29,0.43,0.73,0.23,0.26,0.14,0.5,0.55,0.16,0.19,0.17,0.43,2.53,0.24
TG(49:0),0.13,0.14,0.13,0.14,0.19,0.19,0.16,0.14,0.15,0.14,0.14,0.15,0.14,0.18,0.16,0.15,0.19,0.17,0.27,0.19,0.14,0.16,0.19,0.15,0.17,0.14,0.16,0.18,0.37,0.18,0.16,0.14,0.21,0.17,0.13,0.15,0.17,0.22,0.37,0.17
TG(49:1),0.14,0.14,0.16,0.15,0.44,0.36,0.26,0.23,0.25,0.16,0.23,0.24,0.18,0.35,0.28,0.18,0.36,0.3,0.75,0.38,0.2,0.29,0.35,0.22,0.32,0.21,0.31,0.35,0.8,0.3,0.25,0.16,0.47,0.33,0.16,0.22,0.25,0.49,0.82,0.29
TG(49:2),0.13,0.14,0.15,0.15,0.31,0.26,0.24,0.23,0.25,0.16,0.22,0.22,0.17,0.3,0.21,0.16,0.25,0.23,0.36,0.31,0.21,0.27,0.27,0.2,0.27,0.17,0.27,0.28,0.47,0.27,0.25,0.15,0.35,0.25,0.15,0.21,0.18,0.37,0.51,0.25
TG(49:3),0.13,0.13,0.13,0.13,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.13,0.16,0.14,0.13,0.15,0.14,0.16,0.18,0.14,0.16,0.17,0.14,0.15,0.13,0.16,0.17,0.19,0.15,0.15,0.13,0.18,0.15,0.14,0.13,0.13,0.19,0.22,0.14
TG(50:0),0.14,0.23,0.15,0.17,0.6,0.57,0.44,0.19,0.34,0.19,0.23,0.24,0.18,0.51,0.36,0.19,0.49,0.49,1.21,0.45,0.21,0.3,0.54,0.28,0.6,0.25,0.28,0.54,2.47,0.33,0.24,0.16,0.6,0.54,0.15,0.25,0.3,0.73,3.51,0.36
TG(50:1),0.39,0.86,0.5,0.87,5.08,5.82,4.02,1.98,4.59,1.15,3.11,2.44,1.37,4.91,4.54,1.34,4.56,3.91,11.88,4.2,1.87,3.83,3.43,2.04,5.72,2.76,3.06,3.19,8.64,3.13,2.57,0.75,6.37,4.91,0.93,3.81,1.95,7.41,12.73,2.52
TG(50:2),0.21,0.29,0.26,0.27,0.39,0.42,0.38,0.39,0.54,0.24,0.47,0.39,0.33,0.43,0.4,0.27,0.41,0.37,0.56,0.39,0.46,0.49,0.32,0.28,0.41,0.36,0.39,0.32,0.45,0.4,0.47,0.25,0.44,0.36,0.22,0.41,0.3,0.5,0.42,0.35
TG(50:3),0.4,0.43,0.37,0.82,1.48,1.59,1.97,1.47,2.46,0.55,1.4,1.17,0.52,1.92,1.01,0.42,1.12,0.99,1.73,2.11,1.24,1.56,1.68,1.14,2.58,0.57,1.86,1.47,1.98,1.6,1.89,0.21,2.19,1.31,0.41,1.04,0.47,2.01,4.46,1.2
TG(50:3),0.17,0.18,0.17,0.2,0.24,0.26,0.26,0.25,0.3,0.17,0.26,0.25,0.19,0.26,0.23,0.17,0.24,0.23,0.31,0.25,0.25,0.28,0.23,0.2,0.27,0.19,0.26,0.23,0.26,0.25,0.29,0.14,0.29,0.23,0.16,0.23,0.18,0.29,0.29,0.22
TG(50:5),0.14,0.14,0.13,0.19,0.15,0.15,0.18,0.18,0.18,0.13,0.14,0.15,0.13,0.18,0.14,0.13,0.14,0.14,0.14,0.24,0.16,0.14,0.17,0.21,0.19,0.13,0.16,0.17,0.18,0.17,0.16,0.13,0.23,0.15,0.13,0.14,0.13,0.17,0.23,0.18
TG(50:5),0.14,0.14,0.13,0.19,0.17,0.17,0.21,0.18,0.15,0.14,0.14,0.17,0.13,0.22,0.14,0.13,0.14,0.15,0.14,0.19,0.15,0.16,0.22,0.21,0.21,0.13,0.18,0.2,0.17,0.16,0.15,0.13,0.17,0.16,0.13,0.14,0.13,0.19,0.3,0.18
TG(51:1),0.14,0.15,0.15,0.15,0.45,0.43,0.25,0.22,0.23,0.15,0.21,0.25,0.21,0.35,0.28,0.18,0.32,0.3,0.75,0.36,0.18,0.29,0.36,0.22,0.39,0.2,0.3,0.34,0.85,0.28,0.25,0.16,0.4,0.34,0.16,0.22,0.24,0.42,1.19,0.27
TG(51:2),0.15,0.2,0.19,0.19,0.67,0.59,0.41,0.42,0.38,0.21,0.35,0.37,0.28,0.51,0.39,0.22,0.47,0.42,1.01,0.5,0.28,0.51,0.5,0.3,0.55,0.29,0.55,0.44,0.93,0.4,0.42,0.2,0.55,0.44,0.21,0.37,0.28,0.62,1.18,0.37
TG(51:2),0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.15,0.14,0.17,0.13,0.13,0.15,0.14,0.13,0.14,0.13,0.15,0.15,0.18,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.16,0.13
TG(51:2),0.13,0.14,0.14,0.13,0.17,0.17,0.14,0.15,0.14,0.13,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.19,0.16,0.14,0.15,0.15,0.14,0.16,0.14,0.15,0.15,0.18,0.15,0.16,0.14,0.16,0.15,0.13,0.14,0.14,0.16,0.19,0.15
TG(51:3),0.15,0.16,0.15,0.2,0.32,0.28,0.36,0.34,0.27,0.18,0.21,0.25,0.2,0.33,0.22,0.18,0.29,0.26,0.35,0.34,0.21,0.39,0.41,0.3,0.32,0.17,0.43,0.36,0.51,0.28,0.29,0.14,0.37,0.26,0.17,0.27,0.2,0.45,0.51,0.25
TG(51:4),0.14,0.14,0.13,0.15,0.15,0.15,0.19,0.17,0.17,0.14,0.14,0.16,0.14,0.17,0.14,0.14,0.16,0.15,0.16,0.2,0.15,0.19,0.21,0.19,0.16,0.13,0.2,0.2,0.2,0.14,0.17,0.13,0.19,0.15,0.14,0.15,0.13,0.22,0.21,0.14
TG(52:0),0.13,0.17,0.14,0.14,0.3,0.26,0.2,0.14,0.16,0.14,0.14,0.15,0.15,0.21,0.18,0.14,0.21,0.25,0.4,0.18,0.14,0.16,0.25,0.17,0.3,0.15,0.16,0.25,1.27,0.17,0.15,0.14,0.2,0.24,0.14,0.15,0.17,0.22,1.71,0.18
TG(52:2),0.45,0.6,0.36,0.56,0.68,0.8,0.8,0.91,0.88,0.5,0.74,0.66,0.82,0.67,0.67,0.61,0.89,0.81,1,0.55,0.73,1.08,0.71,0.56,0.71,0.76,0.89,0.68,0.79,0.58,0.73,0.55,0.79,0.67,0.48,0.84,0.7,0.93,0.63,0.49
TG(52:3),0.5,0.59,0.3,0.59,0.54,0.62,0.66,0.7,0.66,0.4,0.52,0.54,0.61,0.53,0.53,0.47,0.66,0.58,0.77,0.45,0.52,0.87,0.58,0.52,0.6,0.6,0.73,0.55,0.6,0.46,0.59,0.31,0.58,0.49,0.39,0.72,0.54,0.77,0.52,0.37
TG(52:4),0.32,0.38,0.19,0.46,0.26,0.33,0.47,0.45,0.39,0.24,0.22,0.34,0.3,0.33,0.26,0.25,0.35,0.32,0.38,0.33,0.28,0.57,0.39,0.37,0.34,0.25,0.5,0.34,0.26,0.3,0.37,0.15,0.37,0.27,0.22,0.42,0.26,0.46,0.32,0.23
TG(52:5),0.24,0.23,0.15,0.27,0.17,0.19,0.3,0.31,0.22,0.17,0.18,0.26,0.19,0.25,0.16,0.18,0.22,0.22,0.2,0.2,0.19,0.31,0.26,0.25,0.18,0.15,0.31,0.23,0.21,0.18,0.2,0.13,0.18,0.17,0.16,0.22,0.17,0.3,0.18,0.17
TG(52:5),0.24,0.23,0.16,0.27,0.14,0.18,0.27,0.26,0.24,0.17,0.21,0.21,0.19,0.22,0.16,0.17,0.2,0.19,0.18,0.25,0.24,0.29,0.25,0.25,0.18,0.16,0.31,0.2,0.21,0.15,0.28,0.13,0.29,0.17,0.16,0.21,0.16,0.24,0.15,0.17
TG(52:6),0.15,0.13,0.14,0.14,0.14,0.13,0.17,0.16,0.42,0.13,0.14,0.15,0.13,0.16,0.13,0.13,0.14,0.15,0.13,0.35,0.21,0.16,0.21,0.16,0.14,0.13,0.18,0.17,0.25,0.21,0.2,0.13,0.16,0.13,0.17,0.14,0.13,0.39,0.15,0.21
TG(52:6),0.17,0.14,0.14,0.3,0.16,0.15,0.26,0.22,0.23,0.15,0.17,0.21,0.13,0.28,0.13,0.13,0.17,0.16,0.14,0.19,0.18,0.2,0.3,0.25,0.17,0.13,0.24,0.22,0.16,0.17,0.25,0.13,0.24,0.15,0.14,0.14,0.13,0.23,0.21,0.25
TG(53:2),0.14,0.18,0.14,0.19,0.49,0.43,0.34,0.33,0.23,0.21,0.23,0.24,0.27,0.36,0.31,0.19,0.38,0.35,0.74,0.3,0.18,0.35,0.51,0.28,0.42,0.23,0.45,0.43,0.81,0.26,0.25,0.16,0.35,0.33,0.19,0.3,0.25,0.41,0.79,0.23
TG(53:3),0.16,0.2,0.15,0.21,0.36,0.35,0.33,0.33,0.24,0.19,0.23,0.25,0.25,0.32,0.25,0.18,0.28,0.27,0.48,0.3,0.19,0.35,0.4,0.27,0.38,0.2,0.44,0.34,0.48,0.25,0.28,0.15,0.3,0.26,0.18,0.3,0.21,0.42,0.55,0.24
TG(53:4),0.15,0.15,0.14,0.21,0.19,0.19,0.27,0.24,0.2,0.15,0.17,0.19,0.18,0.23,0.15,0.15,0.2,0.2,0.2,0.24,0.17,0.26,0.3,0.25,0.21,0.14,0.32,0.26,0.3,0.21,0.2,0.13,0.25,0.17,0.16,0.21,0.16,0.31,0.27,0.21
TG(53:5),0.13,0.13,0.14,0.15,0.13,0.13,0.17,0.16,0.17,0.13,0.14,0.15,0.13,0.16,0.13,0.13,0.14,0.15,0.13,0.2,0.14,0.16,0.19,0.16,0.14,0.13,0.18,0.17,0.17,0.16,0.18,0.13,0.17,0.14,0.14,0.14,0.13,0.18,0.16,0.16
TG(54:1),0.14,0.17,0.14,0.18,0.5,0.43,0.31,0.17,0.21,0.17,0.19,0.2,0.23,0.36,0.34,0.15,0.32,0.5,0.85,0.22,0.16,0.23,0.36,0.28,0.5,0.21,0.27,0.32,1.75,0.23,0.19,0.15,0.28,0.34,0.15,0.18,0.22,0.36,1.93,0.21
TG(54:2),0.31,0.86,0.26,0.8,2.39,2.61,1.77,1.19,0.99,0.7,1.05,1.17,1.99,2.17,2.37,0.52,1.38,1.86,4.59,0.77,0.53,1.66,1.5,1.37,2.55,1.37,2.49,1.26,4.18,0.84,0.9,0.46,1.4,1.68,0.53,1.2,1.05,2.08,7.03,0.67
TG(54:2),0.16,0.22,0.15,0.2,0.29,0.32,0.26,0.22,0.19,0.17,0.2,0.27,0.34,0.31,0.34,0.18,0.23,0.27,0.43,0.18,0.16,0.27,0.22,0.22,0.3,0.26,0.31,0.22,0.43,0.19,0.21,0.18,0.23,0.24,0.17,0.22,0.22,0.3,0.57,0.18
TG(54:2),0.15,0.21,0.15,0.2,0.3,0.32,0.25,0.22,0.2,0.17,0.2,0.27,0.33,0.31,0.34,0.17,0.22,0.27,0.43,0.18,0.16,0.26,0.23,0.22,0.3,0.25,0.32,0.21,0.43,0.19,0.21,0.17,0.23,0.24,0.16,0.22,0.22,0.3,0.58,0.17
TG(54:3),0.34,0.48,0.22,0.5,0.53,0.62,0.63,0.64,0.41,0.38,0.48,0.52,0.79,0.56,0.59,0.33,0.49,0.49,0.78,0.28,0.32,0.68,0.47,0.51,0.52,0.58,0.86,0.41,0.55,0.35,0.41,0.33,0.43,0.46,0.31,0.56,0.46,0.61,0.55,0.26
TG(54:4),0.36,0.37,0.18,0.48,0.31,0.37,0.49,0.48,0.19,0.29,0.15,0.43,0.5,0.48,0.36,0.26,0.33,0.14,0.39,0.15,0.15,0.53,0.37,0.51,0.36,0.3,0.69,0.32,0.35,0.15,0.16,0.19,0.33,0.31,0.25,0.44,0.34,0.47,0.42,0.15
TG(54:4),0.35,0.37,0.18,0.49,0.32,0.38,0.51,0.49,0.28,0.29,0.25,0.43,0.52,0.49,0.35,0.26,0.34,0.34,0.41,0.22,0.23,0.55,0.38,0.51,0.36,0.29,0.73,0.33,0.37,0.25,0.29,0.18,0.36,0.31,0.25,0.46,0.35,0.49,0.42,0.2
