Metabolites,0014_LC_20171106_sample_0015,0014_LC_20171106_sample_0049,0014_LC_20171107_sample_0065,0014_LC_20171111_sample_183,0014_LC_20171111_sample_196,0014_LC_20171106_sample_0045,0014_LC_20171106_sample_0047,0014_LC_20171107_sample_0083,0014_LC_20171107_sample_0089,0014_LC_20171110_sample_139,0014_LC_20171106_sample_0024,0014_LC_20171106_sample_0037,0014_LC_20171110_sample_108,0014_LC_20171111_sample_165,0014_LC_20171112_sample_224,0014_LC_20171106_sample_0012,0014_LC_20171106_sample_0023,0014_LC_20171106_sample_0027,0014_LC_20171110_sample_103,0014_LC_20171110_sample_128,0014_LC_20171107_sample_0099,0014_LC_20171110_sample_109,0014_LC_20171110_sample_135,0014_LC_20171111_sample_158,0014_LC_20171111_sample_166,0014_LC_20171106_sample_0014,0014_LC_20171107_sample_0055,0014_LC_20171110_sample_125,0014_LC_20171111_sample_169,0014_LC_20171111_sample_197,0014_LC_20171106_sample_0048,0014_LC_20171107_sample_0053,0014_LC_20171107_sample_0097,0014_LC_20171111_sample_154,0014_LC_20171111_sample_164,0014_LC_20171107_sample_0056,0014_LC_20171107_sample_0076,0014_LC_20171107_sample_0084,0014_LC_20171110_sample_140,0014_LC_20171111_sample_162
PC(35:4),0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.08,0.06,0.07
PC(36:1),0.54,0.52,0.15,0.75,0.52,0.54,0.87,0.84,0.3,0.51,0.28,0.42,0.5,0.49,0.79,0.49,0.83,0.72,0.64,0.23,0.34,0.74,0.77,0.79,0.61,0.43,0.84,0.91,0.95,0.31,0.19,0.22,0.65,0.52,0.33,0.68,0.73,0.6,0.6,0.2
PC(36:2),0.07,0.07,0.07,0.08,0.07,0.07,0.11,0.11,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.09,0.11,0.09,0.08,0.07,0.07,0.1,0.1,0.09,0.07,0.07,0.12,0.12,0.13,0.07,0.07,0.07,0.09,0.07,0.07,0.09,0.09,0.1,0.07,0.07
PC(36:2),4.15,3.79,0.81,5.62,3.95,3.93,6.49,6.42,2.12,3.87,2.08,3.28,3.81,3.69,5.98,3.77,6.51,5.56,4.89,1.54,2.43,5.69,5.91,5.99,4.63,3.28,6.33,6.82,7.29,2.18,1.16,1.44,4.92,3.96,2.36,5.12,5.44,4.61,4.48,1.23
PC(36:3),0.59,0.6,0.81,0.76,0.92,0.97,1.77,2.2,2.46,0.63,1.87,0.94,0.96,1.11,0.93,1.18,1.97,1.63,0.98,2.04,2.39,1.14,1.66,1.1,0.51,0.64,1.57,1.63,2.07,2.63,1.63,0.26,1.93,0.53,0.72,1.52,1.05,1.42,0.54,1.49
PC(36:3),0.79,0.83,0.14,1.04,0.67,0.63,1.25,1.01,0.23,0.68,0.31,0.51,0.5,0.56,1.32,0.64,1,0.71,0.51,1.93,0.31,0.77,1.02,0.8,0.89,0.65,1.14,1.05,1.13,2.46,1.54,0.18,0.63,0.47,0.4,0.81,0.72,0.72,0.88,1.41
PC(36:4),0.25,0.24,0.2,0.29,0.41,0.42,0.44,0.47,0.65,0.38,0.56,0.3,0.34,0.37,0.5,0.4,0.55,0.49,0.55,0.41,0.63,0.5,0.45,0.41,0.4,0.33,0.44,0.48,0.57,0.48,0.35,0.24,0.46,0.33,0.31,0.46,0.38,0.48,0.32,0.41
PC(36:4),0.33,0.23,0.08,0.43,0.11,0.11,0.65,0.52,0.1,0.22,0.1,0.21,0.16,0.19,0.15,0.25,0.45,0.31,0.12,0.08,0.1,0.33,0.43,0.43,0.1,0.11,0.44,0.49,0.5,0.11,0.08,0.08,0.36,0.11,0.12,0.33,0.29,0.45,0.12,0.08
PC(36:4),2.76,0.89,2.78,3.16,0.91,1.97,5.16,4.7,9.33,1.39,6.09,1.74,2.93,1.72,0.83,3.62,4.91,3.92,2.22,6.15,7.12,4.09,4.17,3.24,0.89,0.35,4.32,4.28,4.77,6.34,4.9,0.3,3.98,0.99,2.27,4.21,3.18,4.33,0.95,4.56
PC(36:4),2.64,0.11,2.71,3.07,0.1,0.11,5.12,4.68,9.16,0.13,5.89,0.12,0.14,0.13,0.13,3.46,4.76,3.74,2.16,6.06,7.01,3.95,4.12,3.16,0.11,0.1,4.11,4.25,4.74,6.24,4.63,0.08,3.97,0.11,2.27,4.02,3.04,4.31,0.11,4.47
